timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650707406399,1025,Open registration page Request-1,200,OK,Thread Group of 300 users 3-64,text,true,,6170,126,3,4,https://blazedemo.com/register,988,0,200
1650707406787,753,Perform registration,200,OK,Thread Group of 100 users 1-22,text,true,,6409,518,1,4,https://blazedemo.com/register,316,0,0
1650707406787,316,Perform registration-0,302,Found,Thread Group of 100 users 1-22,text,true,,227,392,1,4,http://blazedemo.com/register,316,0,0
1650707407103,437,Perform registration-1,200,OK,Thread Group of 100 users 1-22,text,true,,6182,126,1,4,https://blazedemo.com/register,424,0,0
1650707406945,782,Login,200,OK,Thread Group of 300 users 3-63,text,true,,5796,403,3,4,https://blazedemo.com/login,313,0,0
1650707406945,313,Login-0,302,Found,Thread Group of 300 users 3-63,text,true,,224,280,3,4,http://blazedemo.com/login,313,0,0
1650707407258,469,Login-1,200,OK,Thread Group of 300 users 3-63,text,true,,5572,123,3,4,https://blazedemo.com/login,456,0,0
1650707406808,1111,Open registration page Request,200,OK,Thread Group of 300 users 3-65,text,true,,6403,252,3,4,https://blazedemo.com/register,389,0,71
1650707406808,389,Open registration page Request-0,302,Found,Thread Group of 300 users 3-65,text,true,,227,126,3,4,http://blazedemo.com/register,389,0,71
1650707407198,721,Open registration page Request-1,200,OK,Thread Group of 300 users 3-65,text,true,,6176,126,3,4,https://blazedemo.com/register,715,0,230
1650707407424,817,Perform registration,200,OK,Thread Group of 300 users 3-64,text,true,,6395,518,3,4,https://blazedemo.com/register,323,0,0
1650707407424,323,Perform registration-0,302,Found,Thread Group of 300 users 3-64,text,true,,227,392,3,4,http://blazedemo.com/register,323,0,0
1650707407747,494,Perform registration-1,200,OK,Thread Group of 300 users 3-64,text,true,,6168,126,3,4,https://blazedemo.com/register,485,0,0
1650707407541,775,Login,200,OK,Thread Group of 100 users 1-22,text,true,,5798,403,1,4,https://blazedemo.com/login,319,0,0
1650707407541,319,Login-0,302,Found,Thread Group of 100 users 1-22,text,true,,224,280,1,4,http://blazedemo.com/login,319,0,0
1650707407861,455,Login-1,200,OK,Thread Group of 100 users 1-22,text,true,,5574,123,1,4,https://blazedemo.com/login,449,0,0
1650707407921,783,Perform registration,200,OK,Thread Group of 300 users 3-65,text,true,,6399,518,3,3,https://blazedemo.com/register,329,0,0
1650707407921,329,Perform registration-0,302,Found,Thread Group of 300 users 3-65,text,true,,227,392,3,3,http://blazedemo.com/register,329,0,0
1650707408250,454,Perform registration-1,200,OK,Thread Group of 300 users 3-65,text,true,,6172,126,3,3,https://blazedemo.com/register,415,0,0
1650707407808,1059,Open registration page Request,200,OK,Thread Group of 300 users 3-66,text,true,,6401,252,4,5,https://blazedemo.com/register,385,0,64
1650707407808,385,Open registration page Request-0,302,Found,Thread Group of 300 users 3-66,text,true,,227,126,4,5,http://blazedemo.com/register,385,0,64
1650707408195,672,Open registration page Request-1,200,OK,Thread Group of 300 users 3-66,text,true,,6174,126,4,5,https://blazedemo.com/register,663,0,183
1650707408243,761,Login,200,OK,Thread Group of 300 users 3-64,text,true,,5800,403,4,5,https://blazedemo.com/login,314,0,0
1650707408243,314,Login-0,302,Found,Thread Group of 300 users 3-64,text,true,,224,280,4,5,http://blazedemo.com/login,314,0,0
1650707408557,447,Login-1,200,OK,Thread Group of 300 users 3-64,text,true,,5576,123,4,5,https://blazedemo.com/login,432,0,0
1650707408705,749,Login,200,OK,Thread Group of 300 users 3-65,text,true,,5802,403,3,4,https://blazedemo.com/login,321,0,0
1650707408705,321,Login-0,302,Found,Thread Group of 300 users 3-65,text,true,,224,280,3,4,http://blazedemo.com/login,321,0,0
1650707409026,428,Login-1,200,OK,Thread Group of 300 users 3-65,text,true,,5578,123,3,4,https://blazedemo.com/login,422,0,0
1650707408868,941,Perform registration,200,OK,Thread Group of 300 users 3-66,text,true,,6399,518,3,4,https://blazedemo.com/register,333,0,0
1650707408868,333,Perform registration-0,302,Found,Thread Group of 300 users 3-66,text,true,,227,392,3,4,http://blazedemo.com/register,333,0,0
1650707409201,608,Perform registration-1,200,OK,Thread Group of 300 users 3-66,text,true,,6172,126,3,4,https://blazedemo.com/register,595,0,0
1650707408809,1255,Open registration page Request,200,OK,Thread Group of 300 users 3-67,text,true,,6397,252,3,4,https://blazedemo.com/register,385,0,62
1650707408809,385,Open registration page Request-0,302,Found,Thread Group of 300 users 3-67,text,true,,227,126,3,4,http://blazedemo.com/register,385,0,62
1650707409195,869,Open registration page Request-1,200,OK,Thread Group of 300 users 3-67,text,true,,6170,126,3,4,https://blazedemo.com/register,860,0,189
1650707408752,1448,Open registration page Request,200,OK,Thread Group of 100 users 1-23,text,true,,6399,252,1,4,https://blazedemo.com/register,743,0,119
1650707408752,743,Open registration page Request-0,302,Found,Thread Group of 100 users 1-23,text,true,,227,126,1,4,http://blazedemo.com/register,743,0,119
1650707409496,704,Open registration page Request-1,200,OK,Thread Group of 100 users 1-23,text,true,,6172,126,1,4,https://blazedemo.com/register,695,0,190
1650707409809,767,Login,200,OK,Thread Group of 300 users 3-66,text,true,,5794,403,3,4,https://blazedemo.com/login,319,0,0
1650707409809,319,Login-0,302,Found,Thread Group of 300 users 3-66,text,true,,224,280,3,4,http://blazedemo.com/login,319,0,0
1650707410128,448,Login-1,200,OK,Thread Group of 300 users 3-66,text,true,,5570,123,3,4,https://blazedemo.com/login,436,0,0
1650707410065,795,Perform registration,200,OK,Thread Group of 300 users 3-67,text,true,,6399,518,3,4,https://blazedemo.com/register,346,0,0
1650707409809,1051,Open registration page Request,200,OK,Thread Group of 300 users 3-68,text,true,,6399,252,3,4,https://blazedemo.com/register,385,0,67
1650707410065,346,Perform registration-0,302,Found,Thread Group of 300 users 3-67,text,true,,227,392,3,4,http://blazedemo.com/register,346,0,0
1650707409809,385,Open registration page Request-0,302,Found,Thread Group of 300 users 3-68,text,true,,227,126,3,4,http://blazedemo.com/register,385,0,67
1650707410411,449,Perform registration-1,200,OK,Thread Group of 300 users 3-67,text,true,,6172,126,3,4,https://blazedemo.com/register,442,0,0
1650707410195,665,Open registration page Request-1,200,OK,Thread Group of 300 users 3-68,text,true,,6172,126,3,4,https://blazedemo.com/register,652,0,201
1650707410201,1069,Perform registration,200,OK,Thread Group of 100 users 1-23,text,true,,6407,518,1,4,https://blazedemo.com/register,310,0,0
1650707410201,310,Perform registration-0,302,Found,Thread Group of 100 users 1-23,text,true,,227,392,1,4,http://blazedemo.com/register,310,0,0
1650707410511,759,Perform registration-1,200,OK,Thread Group of 100 users 1-23,text,true,,6180,126,1,4,https://blazedemo.com/register,752,0,0
1650707410860,948,Login,200,OK,Thread Group of 300 users 3-67,text,true,,5796,403,3,5,https://blazedemo.com/login,317,0,0
1650707410860,317,Login-0,302,Found,Thread Group of 300 users 3-67,text,true,,224,280,3,5,http://blazedemo.com/login,317,0,0
1650707411177,631,Login-1,200,OK,Thread Group of 300 users 3-67,text,true,,5572,123,3,5,https://blazedemo.com/login,624,0,0
1650707410810,1055,Open registration page Request,200,OK,Thread Group of 300 users 3-69,text,true,,6399,252,3,5,https://blazedemo.com/register,380,0,62
1650707410860,1005,Perform registration,200,OK,Thread Group of 300 users 3-68,text,true,,6403,518,3,5,https://blazedemo.com/register,323,0,0
1650707410810,380,Open registration page Request-0,302,Found,Thread Group of 300 users 3-69,text,true,,227,126,3,5,http://blazedemo.com/register,380,0,62
1650707410860,323,Perform registration-0,302,Found,Thread Group of 300 users 3-68,text,true,,227,392,3,5,http://blazedemo.com/register,323,0,0
1650707411191,674,Open registration page Request-1,200,OK,Thread Group of 300 users 3-69,text,true,,6172,126,3,5,https://blazedemo.com/register,661,0,203
1650707411184,681,Perform registration-1,200,OK,Thread Group of 300 users 3-68,text,true,,6176,126,3,5,https://blazedemo.com/register,675,0,0
1650707411271,770,Login,200,OK,Thread Group of 100 users 1-23,text,true,,5798,403,2,5,https://blazedemo.com/login,323,0,0
1650707411271,323,Login-0,302,Found,Thread Group of 100 users 1-23,text,true,,224,280,2,5,http://blazedemo.com/login,323,0,0
